Date,Item,Material,Supplier,Cost Price,Sale Price,Quantity_Sold,Stock_Level,Fabric_Category
2023-11-04,Cotton saree,Cotton,Emco textiles,300.0,330.0,112,22,Formal
2023-12-18,Blouse piece,Cotton,Shree fabrics,40.0,50.0,189,29,Formal
2023-03-07,Lungi,Cotton,Shree Ram textiles,100.0,120.0,102,22,Festive
2024-04-04,Saree,Silk,Sri Lakshmi silks,600.0,700.0,24,194,Festive
2023-12-13,Churidhar,Cotton,Vasanth textiles,250.0,300.0,116,45,Casual
2023-11-21,Bedsheet,Cotton,RR Textiles,180.0,210.0,81,167,Formal
2024-10-28,Handkerchief,Cotton,Sai Ram fabrics,20.0,25.0,198,185,Casual
2024-08-21,Saree,Chiffon,Ravi textiles,400.0,450.0,30,193,Casual
2023-02-02,Pillow cover,Cotton,RSN textiles,30.0,40.0,112,22,Casual
2023-03-09,Shirt,Cotton,Sri Velavan textiles,200.0,230.0,131,26,Casual
2023-07-06,Blouse,Cotton,Sathya textiles,70.0,80.0,84,187,Formal
2023-07-11,Kurti,Rayon,Swastik textiles,320.0,350.0,97,184,Casual
2023-08-01,Pajamas,Cotton,Vimal textiles,150.0,170.0,126,36,Formal
2024-08-22,Skirt,Silk,Amrit textiles,420.0,470.0,109,32,Formal
2024-03-03,Bedsheet,Linen,Sadhna textiles,250.0,280.0,113,17,Festive
2023-12-17,Towel,Cotton,Sri textiles,100.0,110.0,161,17,Formal
2023-04-18,Dupatta,Georgette,Rajesh textiles,180.0,210.0,140,35,Festive
2023-08-28,Saree,Cotton,Amba textiles,300.0,340.0,159,22,Formal
2023-08-04,Nighty,Silk,Manav textiles,400.0,450.0,62,186,Formal
2023-06-26,T-shirt,Cotton,Sri Velavan textiles,220.0,250.0,11,158,Formal
2024-07-18,Scarf,Wool,Sharma textiles,150.0,180.0,97,109,Festive
2023-11-26,Suit,Linen,Shree fabrics,500.0,550.0,167,34,Festive
2024-07-14,Shawl,Pashmina,Sri Kashmir Handlooms,1000.0,1200.0,47,165,Casual
2024-09-17,Dupatta,Chiffon,Om textiles,180.0,220.0,139,11,Festive
2024-03-25,Socks,Wool,RR textiles,50.0,60.0,197,27,Festive
2024-08-29,Saree,Silk,Balaji textiles,650.0,700.0,30,116,Festive
2024-03-22,Jeans,Denim,Denim World,400.0,450.0,170,39,Festive
2024-06-20,Kurta,Cotton,Swastik textiles,320.0,350.0,67,115,Casual
2024-10-05,Jacket,Leather,Leather Craft India,1500.0,1700.0,31,115,Festive
2023-06-28,Towel,Cotton,Sri textiles,100.0,120.0,98,145,Formal
2024-01-30,Bedsheet,Cotton,RR Textiles,180.0,220.0,58,138,Formal
2023-05-25,Blouse,Cotton,Shree fabrics,70.0,90.0,68,130,Festive
2023-07-17,Skirt,Linen,Royal Fabrics,200.0,230.0,179,195,Festive
2023-03-25,Kurta,Cotton,Vasanth Textiles,320.0,360.0,197,22,Formal
2024-10-30,Bedsheet,Linen,Sadhna Textiles,250.0,280.0,24,110,Formal
2023-03-26,T-shirt,Cotton,Sri Velavan Textiles,220.0,260.0,199,39,Casual
2024-04-01,Pajamas,Rayon,Vimal Textiles,170.0,200.0,199,30,Formal
2024-04-20,Dupatta,Silk,Balaji Textiles,280.0,320.0,184,26,Formal
2023-09-10,Scarf,Cotton,RR Textiles,120.0,150.0,199,49,Festive
2023-03-13,Nighty,Silk,Manav Textiles,400.0,450.0,60,149,Formal
2023-08-11,Skirt,Chiffon,Ravi Textiles,300.0,340.0,117,114,Casual
2023-10-03,Blouse,Cotton,Shree Fabrics,80.0,100.0,64,194,Formal
2023-09-03,Lungi,Cotton,Shree Ram Textiles,100.0,130.0,73,180,Festive
2023-12-07,Dupatta,Georgette,Om Textiles,180.0,220.0,140,40,Festive
2024-07-26,Saree,Chiffon,Ravi Textiles,400.0,450.0,60,174,Formal
2024-04-15,Pillow cover,Cotton,RSN Textiles,30.0,40.0,144,39,Festive
2024-03-29,Shirt,Cotton,Sri Velavan Textiles,200.0,230.0,30,195,Casual
2023-01-07,Kurta,Rayon,Swastik Textiles,300.0,340.0,82,123,Casual
2023-07-07,Pajamas,Linen,Vimal Textiles,200.0,230.0,176,10,Formal
2023-01-04,Nighty,Cotton,Manav Textiles,350.0,400.0,27,191,Formal
2024-10-06,Bedsheet,Cotton,RR Textiles,200.0,240.0,141,20,Formal
2023-05-05,Saree,Silk,Balaji Textiles,600.0,650.0,98,170,Festive
2023-01-15,Handkerchief,Cotton,Sai Ram Fabrics,20.0,30.0,69,101,Casual
2024-06-08,T-shirt,Cotton,Sri Velavan Textiles,220.0,250.0,23,123,Casual
2024-09-21,Pajamas,Rayon,Vimal Textiles,160.0,180.0,18,103,Festive
2023-08-28,Saree,Silk,Emco Textiles,700.0,750.0,99,118,Casual
2023-12-26,Lungi,Cotton,Shree Ram Textiles,100.0,120.0,62,103,Formal
2024-06-01,Bedsheet,Cotton,RR Textiles,180.0,210.0,139,42,Formal
2023-11-16,Saree,Silk,Sri Lakshmi Silks,650.0,700.0,93,139,Formal
2023-08-19,Blouse,Cotton,Sathya Textiles,70.0,90.0,101,17,Casual
2023-01-30,Pillow cover,Cotton,RSN Textiles,30.0,40.0,120,82,Formal
2024-06-17,Shirt,Cotton,Sri Velavan Textiles,200.0,220.0,197,66,Festive
2023-06-05,Blouse,Silk,Shree Fabrics,120.0,140.0,181,21,Festive
2024-09-21,Kurta,Cotton,Vasanth Textiles,320.0,360.0,17,111,Casual
2024-12-05,Skirt,Linen,Royal Fabrics,220.0,250.0,184,49,Festive
2024-02-03,Saree,Chiffon,Ravi Textiles,400.0,450.0,44,126,Festive
2023-12-12,Dupatta,Silk,Balaji Textiles,280.0,320.0,90,153,Casual
2023-07-14,Lungi,Cotton,Shree Ram Textiles,100.0,130.0,173,40,Formal
2023-06-17,Handkerchief,Cotton,Sai Ram Fabrics,20.0,25.0,59,148,Formal
2024-01-12,Towel,Cotton,Sri Textiles,100.0,120.0,113,42,Formal
2024-05-03,Skirt,Rayon,Royal Fabrics,240.0,280.0,141,41,Casual
2023-12-28,Kurta,Linen,Swastik Textiles,300.0,340.0,11,159,Festive
2024-04-26,Pajamas,Cotton,Vimal Textiles,150.0,170.0,143,30,Formal
2023-09-01,Bedsheet,Cotton,RR Textiles,180.0,210.0,63,90,Formal
2024-08-03,Saree,Silk,Sri Lakshmi Silks,700.0,750.0,115,49,Casual
2024-08-29,Dupatta,Cotton,Om Textiles,200.0,240.0,13,137,Formal
2024-08-11,Shirt,Linen,Sri Velavan Textiles,250.0,280.0,63,127,Casual
2023-06-20,Pillow cover,Cotton,RSN Textiles,40.0,50.0,155,31,Festive
2024-05-27,Kurta,Rayon,Vasanth Textiles,350.0,380.0,53,195,Casual
2024-02-10,Blouse,Cotton,Shree Fabrics,70.0,90.0,171,46,Casual
2024-07-27,Handkerchief,Cotton,Sai Ram Fabrics,20.0,25.0,199,17,Casual
2023-07-26,Skirt,Chiffon,Ravi Textiles,300.0,340.0,23,141,Casual
2023-06-03,Pajamas,Linen,Vimal Textiles,200.0,230.0,104,44,Festive
2023-02-17,Saree,Chiffon,Emco Textiles,450.0,500.0,57,196,Festive
2024-10-10,Bedsheet,Cotton,RR Textiles,180.0,220.0,24,176,Formal
2023-01-01,Shirt,Cotton,Sri Velavan Textiles,200.0,230.0,199,30,Festive
2024-02-11,Dupatta,Silk,Balaji Textiles,280.0,320.0,49,146,Festive
2023-04-17,Lungi,Cotton,Shree Ram Textiles,100.0,120.0,91,71,Formal
2023-06-22,Blouse,Cotton,Shree Fabrics,70.0,90.0,120,28,Festive
2024-05-20,Pajamas,Cotton,Vimal Textiles,150.0,170.0,62,121,Casual
2023-05-10,Handkerchief,Cotton,Sai Ram Fabrics,20.0,25.0,33,156,Casual
2024-02-02,Skirt,Chiffon,Ravi Textiles,300.0,350.0,163,78,Formal
2023-10-21,Bedsheet,Linen,Sadhna Textiles,250.0,280.0,197,15,Formal
2024-07-05,T-shirt,Cotton,Sri Velavan Textiles,200.0,230.0,133,45,Formal
2024-03-22,Lungi,Cotton,Shree Ram Textiles,110.0,140.0,50,179,Casual
2023-01-16,Pajamas,Rayon,Vimal Textiles,180.0,210.0,166,37,Festive
2024-09-30,Kurta,Linen,Swastik Textiles,320.0,360.0,24,83,Casual
2023-12-15,Dupatta,Silk,Balaji Textiles,280.0,320.0,54,189,Formal
